chaos_region,TP,FP,FN,F1,Precision,Recall
A,25,34,217,0.166,0.424,0.103
aa,0,1,207,0.000,0.000,0.000
B,8,8,81,0.152,0.500,0.090
bb,1,5,246,0.008,0.167,0.004
C,12,8,74,0.227,0.600,0.140
Co,81,50,73,0.568,0.618,0.526
D,5,19,66,0.105,0.208,0.070
dd,6,19,46,0.155,0.240,0.115
E,4,8,82,0.082,0.333,0.047
ee,10,18,32,0.286,0.357,0.238
F,6,11,32,0.223,0.353,0.158
ff,1,0,45,0.043,1.000,0.022
G,10,20,29,0.289,0.333,0.256
gg,0,2,110,0.000,0.000,0.000
H,2,23,18,0.089,0.080,0.100
hh,35,22,72,0.427,0.614,0.327
I,19,16,46,0.380,0.543,0.292
ii,58,73,93,0.411,0.443,0.384
jj,27,65,56,0.308,0.293,0.325
kk,8,15,17,0.333,0.348,0.320